Timestamp,Ticker,Model,RMSE,MAE
2026-08-17 15:20:45,NVDA,lstm,15.8480,13.8447
2026-08-17 15:20:47,NVDA,random_forest,54.0994,44.2451
2026-08-17 15:20:47,NVDA,linear_regression,5.1903,3.9562
2026-08-17 15:21:34,AAPL,lstm,14.8969,12.5493
2026-08-17 15:21:36,AAPL,random_forest,40.5848,29.0861
2026-08-17 15:21:36,AAPL,linear_regression,4.3705,3.0428
2026-08-17 15:22:22,GOOGL,lstm,21.8348,16.2162
2026-08-17 15:22:23,GOOGL,random_forest,96.5818,66.0530
2026-08-17 15:22:23,GOOGL,linear_regression,5.3400,3.6732
2026-08-17 15:22:47,MSFT,lstm,17.9949,13.1910
2026-08-17 15:22:49,MSFT,random_forest,36.5740,24.7728
2026-08-17 15:22:49,MSFT,linear_regression,7.8827,5.3812
2026-08-17 15:23:29,AMZN,lstm,9.4376,7.2708
2026-08-17 15:23:31,AMZN,random_forest,33.9155,27.2603
2026-08-17 15:23:31,AMZN,linear_regression,4.7421,3.4312
